kickoff_iso,liga,partida,mercado,aposta
2026-06-18T02:00:00Z,FIFA World Cup,Uzbekistan vs Colombia,totals,Under 2.5
2026-06-17T04:00:00Z,FIFA World Cup,Austria vs Jordan,totals,Over 2.5
2026-06-17T17:00:00Z,FIFA World Cup,Portugal vs DR Congo,totals,Over 2.5
2026-06-17T20:00:00Z,FIFA World Cup,England vs Croatia,totals,Under 2.5
2026-06-17T23:00:00Z,FIFA World Cup,Ghana vs Panama,totals,Under 2.5
2026-06-17T15:00:00Z,Veikkausliiga - Finland,HJK Helsinki vs FC Inter Turku,totals,Over 2.5
2026-06-17T15:00:00Z,Veikkausliiga - Finland,Ilves Tampere vs Jaro,totals,Over 2.5
2026-06-17T15:00:00Z,Veikkausliiga - Finland,TPS Turku vs KuPS Kuopio,totals,Over 2.5
2026-06-17T18:00:00Z,Veikkausliiga - Finland,IF Gnistan vs FC Lahti,totals,Over 2.5
2026-06-17T18:00:00Z,Veikkausliiga - Finland,SJK Seinäjoki vs VPS Vaasa,totals,Over 2.5
